name,price,link
"
Lenovo IdeaPad S145-15IIL 81W80071PB PL
","669,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00AXPB
","822,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming i5 8/512GB GTX1050 W10H PL
","807,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00XFPB
","916,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell G3 15 3590 i5 8/512GB DOS
","761,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Acer Aspire 5 A515-55 Silver NX.HSPEL.002
","610,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus ROG Strix SCAR III G731GV-EV111T PL
","1.803,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo IdeaPad L340-15IRH Gaming 81LK012VLT
","749,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
HP 250 G7 Black 6MP93EA
","294,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus ROG Strix G G531GV-AL172 PL
","1.413,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Asus ZenBook 15 UX533FTC-A8222R Silver
","1.251,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Vostro 3590 Black i5 8/1TB UHD DVD W10Pro
","736,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell G3 15 3590 Black 273285295
","989,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Acer Aspire 5 A515-54G Black NX.HDGEL.015
","554,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo Ideapad C340-14API Black 81N6004XPB PL
","578,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Vostro 5490 Grey N4108VN5490EMEA01_1
","1.076,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Microsoft Surface Laptop DAJ-00012
","2.081,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo V130-14IKB Grey 81HQ00MMMH
","421,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkPad T490 Black 20N20032US
","1.177,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell XPS 13 7390 Silver 273266505
","2.363,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Latitude 5501 Black N009L550115EMEA
","1.489,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Fujitsu Lifebook E549 VFY:E5490M451FBA
","924,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Fujitsu Lifebook U759 VFY:U7590M471FBA
","1.230,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y520 80WK014VPB PL
","844,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Fujitsu Lifebook U749 PCK:U7490MP001BA
","1.046,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell G5 5590 Black 273256817
","1.693,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Dell Inspiron 15 3593 Black 273256919
","732,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Fujitsu Lifebook U729 Black PCK:U7290MP001BA
","1.006,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Fujitsu Lifebook U749 VFY:U7490M431FBA
","1.051,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Asus ROG Strix SCAR III G731GW-H6161T PL
","2.005,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Tecra A40-E-198 PMZ10E-0K701PG3
","900,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Ideapad S540-14API Grey 81NH004APB PL
","650,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkPad T490s 20NX0055MH
","1.656,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Tecra A40-E-199 PMZ10E-0KM01JPL
","942,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Toshiba Dynabook Tecra A40-E-172 PMZ10E-0LT01JPL
","901,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad E495 Black 20NE000JMH
","662,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Satellite Pro A50-EC-10T PT5A1E-00H01NPL
","925,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad T590 Black 20N4004DMH
","1.709,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Acer Nitro 5 AN517-51 Black NH.Q5DEP.043
","1.148,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Satellite Pro L50-G-13K PBS12E-03C009PL
","1.008,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 3591 Black i5 8/256GB W10P PL
","760,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad L590 20Q7000YMH
","912,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Satellite Pro L50-G-120 PBS12E-01R008PL
","1.033,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y530-15 Full HD GTX 1060 SSD Coffe Lake i7 W10
","1.269,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkPad T480 20L6SAPM00 PL
","876,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Acer Aspire 5 A515-52G Black NX.H15EL.001
","763,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Lenovo ThinkPad P52 Black 20M9001RPB PL
","2.651,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
MSI GE63 Raider RGB RE GE63RAIDERRGB8SE-005NL
","1.999,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Satellite Pro L50-G-1CC PBS12E-08E02KPL
","774,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
HP ProBook 430 G6 5PP47EA#B1R
","908,00",https://www.1a.lv/p/lenovo-ideapad-l340-15irh-gaming-81lk00ullt/7g4t
"
Toshiba Dynabook Satellite Pro L50-G-179 PBS12E-04K01GG3
","969,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad L480 20LTS6KQ14 PL
","692,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Toshiba Dynabook Satellite Pro L50-G-11L PBS12E-01Q008PL
","978,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad T480 20L6SC0100 PL
","853,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
HP ProBook 450 G7 Silver 8VU80EA#B1R
","869,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 13 7391 2 in 1 Silver i5 8/512GB W10H PL
","1.084,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 13 7391 2 in 1 Silver i7 16/512GB W10P PL
","1.314,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Acer Swift 1 SF114-32 Silver NX.GXUEP.015 PL
","415,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SY00HQPB PL
","948,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SY00HPPB PL
","889,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SY00HGPB PL
","841,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SY00HJPB PL
","923,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
