title,price
"
                DELL Latitude 5400 Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 16 GB DDR4-SDRAM...
            ","
                1199 €

            "
"
                Lenovo ThinkPad P53 15.6 FHD i7-9750H
            ","
                2569 €

            "
"
                Lenovo ThinkPad X390 Melns Portatīvais dators 33,8 cm (13.3"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 16 GB...
            ","
                1799 €

            "
"
                Lenovo ThinkPad X1 Yoga Pelēks Hibrīds (divi vienā) 35,6 cm (14"") 3840 x 2160 pikseļi Skārienjūtīgais ekrāns 8th...
            ","
                3039 €

            "
"
                Portatīvais dators Swift 3 A315-54K, Acer, NX.HEEEL.004
            ","
                539 €

            "
"
                HP EliteBook x360 830 G6 Sudrabs Hibrīds (divi vienā) 33,8 cm (13.3"") 1920 x 1080 pikseļi Skārienjūtīgais ekrāns...
            ","
                2199 €

            "
"
                HP EliteBook x360 830 G6 Sudrabs Hibrīds (divi vienā) 33,8 cm (13.3"") 1920 x 1080 pikseļi Skārienjūtīgais ekrāns...
            ","
                2009 €

            "
"
                Lenovo ThinkPad X1 Carbon Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi Skārienjūtīgais ekrāns 8th...
            ","
                2499 €

            "
"
                Lenovo ThinkPad E595 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi AMD Ryzen 5 16 GB DDR4-SDRAM...
            ","
                759 €

            "
"
                HP ProBook 455R G6 Sudrabs Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi AMD Ryzen 5 8 GB DDR4-SDRAM 256...
            ","
                779 €

            "
"
                HP ProBook 450 G6 Sudrabs Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 16 GB...
            ","
                1119 €

            "
"
                HP EliteBook 850 G6, 15.6"", 256GB SSD, 8GB RAM, Intel i5-8265U, ENG, Win 10 Pro (6XD79EA#B1R)
            ","
                1299 €

            "
"
                HP EliteBook 840 G6, 14"", 256GB SSD, 8GB RAM, Intel i5-8265U, Intel UHD 620, ENG, Win 10 Pro (6XD76EA#B1R)
            ","
                1289 €

            "
"
                DELL Latitude 5300 Melns Portatīvais dators 33,8 cm (13.3"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            ","
                1009 €

            "
"
                Lenovo ThinkPad L590 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB...
            ","
                939 €

            "
"
                HP ProBook 640 G5, 14"", 256GB SSD, 8GB RAM, Intel i5-8265U, Intel UHD 620, ENG, Win 10 Pro (6XD99EA#B1R)
            ","
                1099 €

            "
"
                Microsoft Surface Book 2 Sudrabs Hibrīds (divi vienā) 34,3 cm (13.5"") 3000 x 2000 pikseļi Skārienjūtīgais ekrāns...
            ","
                2125 €

            "
"
                DELL Latitude 5300 Melns Portatīvais dators 33,8 cm (13.3"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 16 GB DDR4-SDRAM...
            ","
                1469 €

            "
"
                Portatīvais dators DELL Latitude 7400 8W5Y2, 14"" Full HD, i7-8665U, 16GB RAM, 512GB SSD, Windows 10 Pro, melns
            ","
                1709 €

            "
"
                HP ProBook 430 G6 Sudrabs Portatīvais dators 33,8 cm (13.3"") 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM 256 GB SSD...
            ","
                919 €

            "
"
                Lenovo IdeaPad 330S-15IKB, 15.6"",  SSD 256GB, RAM 8GB, Intel i5, NVIDIA GeForce 1050, ENG, Windows 10 Home
            ","
                869 €

            "
"
                HP ProBook 450 G6, 15.6"", 256GB SSD, 8GB RAM, Intel i5-8265U, Intel UHD 620, Win 10 Pro (5PP67EA#B1R)
            ","
                929 €

            "
