title,pric
"
                Lenovo ThinkPad E495 Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi AMD Ryzen 5 16 GB DDR4-SDRAM 512...
            ","
                Lenovo ThinkPad E495 Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi AMD Ryzen 5 16 GB DDR4-SDRAM 512...
            "
"
                DELL XPS 13 7390 Melns, Platīns, Sudrabs Portatīvais dators 33,8 cm (13.3"") 3840 x 2160 pikseļi Skārienjūtīgais...
            ","
                DELL XPS 13 7390 Melns, Platīns, Sudrabs Portatīvais dators 33,8 cm (13.3"") 3840 x 2160 pikseļi Skārienjūtīgais...
            "
"
                Acer Nitro 5 AN515-43-R0DV Black, 15.6"",  512GB SSD, 8GB RAM, AMD Ryzen 7 3750H, AMD Radeon RX 560X, ENG/RUS, Win...
            ","
                Acer Nitro 5 AN515-43-R0DV Black, 15.6"",  512GB SSD, 8GB RAM, AMD Ryzen 7 3750H, AMD Radeon RX 560X, ENG/RUS, Win...
            "
"
                Dell G3 15 3590 Black, 15.6"", 256GB SSD, 1TB HDD, 8GB RAM, Intel i5-9300H, NVIDIA GeForce GTX 1050, ENG, Win 10...
            ","
                Dell G3 15 3590 Black, 15.6"", 256GB SSD, 1TB HDD, 8GB RAM, Intel i5-9300H, NVIDIA GeForce GTX 1050, ENG, Win 10...
            "
"
                Asus ZenBook Series UX334FL-A4021R, 13.3"", 1TB SSD, 16GB RAM, Intel i7-8565U, NVIDIA GeForce MX250, ENG, Win 10...
            ","
                Asus ZenBook Series UX334FL-A4021R, 13.3"", 1TB SSD, 16GB RAM, Intel i7-8565U, NVIDIA GeForce MX250, ENG, Win 10...
            "
"
                Asus ZenBook UX433FLC-A5337T Silver, 14"", 1TB SSD, 16GB RAM, Intel i7-10510U, Intel UHD 620, NVIDIA GeForce MX250,...
            ","
                Asus ZenBook UX433FLC-A5337T Silver, 14"", 1TB SSD, 16GB RAM, Intel i7-10510U, Intel UHD 620, NVIDIA GeForce MX250,...
            "
"
                DELL Latitude 3500 CPU i3-8145U 2100 MHz 15.6
            ","
                DELL Latitude 3500 CPU i3-8145U 2100 MHz 15.6
            "
"
                DELL Latitude 3500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i3 4 GB DDR4-SDRAM...
            ","
                DELL Latitude 3500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i3 4 GB DDR4-SDRAM...
            "
"
                DELL Latitude 3400
            ","
                DELL Latitude 3400
            "
"
                Dell Vostro 3578, 15.6"", 256GB SSD, 8GB RAM, Intel i7-8550U, AMD Radeon 520, ENG, Win 10 + dāvanā Natec Impala...
            ","
                Dell Vostro 3578, 15.6"", 256GB SSD, 8GB RAM, Intel i7-8550U, AMD Radeon 520, ENG, Win 10 + dāvanā Natec Impala...
            "
"
                Acer Nitro 5 AN515-54 Black, 15.6"", 256GB SSD, 8GB RAM, Intel i5-9300H, NVIDIA GeForce 1650, ENG, Win 10 Home (NH.Q59EL.004)
            ","
                Acer Nitro 5 AN515-54 Black, 15.6"", 256GB SSD, 8GB RAM, Intel i5-9300H, NVIDIA GeForce 1650, ENG, Win 10 Home (NH.Q59EL.004)
            "
"
                Portatīvais dators Prestigio Smartbook 133S, tumši brūns
            ","
                Portatīvais dators Prestigio Smartbook 133S, tumši brūns
            "
"
                Acer Nitro 5 AN515-54 Black, 15.6"", 256GB SSD, 1TB HDD, 8GB RAM, Intel i7-9750H, NVIDIA GeForce GTX 1650, ENG,...
            ","
                Acer Nitro 5 AN515-54 Black, 15.6"", 256GB SSD, 1TB HDD, 8GB RAM, Intel i7-9750H, NVIDIA GeForce GTX 1650, ENG,...
            "
"
                Lenovo ThinkPad T490 Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            ","
                Lenovo ThinkPad T490 Melns Portatīvais dators 35,6 cm (14"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            "
"
                HP EliteBook x360 1040 G6 Sudrabs Hibrīds (divi vienā) 35,6 cm (14"") 1920 x 1080 pikseļi Skārienjūtīgais ekrāns...
            ","
                HP EliteBook x360 1040 G6 Sudrabs Hibrīds (divi vienā) 35,6 cm (14"") 1920 x 1080 pikseļi Skārienjūtīgais ekrāns...
            "
"
                TOSHIBA Satellite Pro L50-G-1CC CPU i5-10210U 1600 MHz 15.6
            ","
                TOSHIBA Satellite Pro L50-G-1CC CPU i5-10210U 1600 MHz 15.6
            "
"
                Dynabook Satellite Pro L50-G-11L Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 10th gen Intel® Core™...
            ","
                Dynabook Satellite Pro L50-G-11L Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 10th gen Intel® Core™...
            "
"
                DELL Precision 3540 Melns Mobila darbstacija 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            ","
                DELL Precision 3540 Melns Mobila darbstacija 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            "
"
                DELL Latitude 5501 CPU i7-9850H 2600 MHz 15.6
            ","
                DELL Latitude 5501 CPU i7-9850H 2600 MHz 15.6
            "
"
                DELL Latitude 5500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            ","
                DELL Latitude 5500 Melns Portatīvais dators 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i5 8 GB DDR4-SDRAM...
            "
"
                ASUS ROG G703GXR-EV029T CPU i9-9980HK 2400 MHz 17.3
            ","
                ASUS ROG G703GXR-EV029T CPU i9-9980HK 2400 MHz 17.3
            "
"
                DELL Precision 3540 Melns Mobila darbstacija 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 8 GB DDR4-SDRAM...
            ","
                DELL Precision 3540 Melns Mobila darbstacija 39,6 cm (15.6"") 1920 x 1080 pikseļi 8th gen Intel® Core™ i7 8 GB DDR4-SDRAM...
            "
